Name;Art der Regelung;Nummer;Relevante nationale Gesetze;celex;eu_languages;eu_manifestations
EU-Prospektverordnung;Verordnung (VO);VO (EU) 2017/1129;Wertpapierprospektgesetz (WpPG), Börsengesetz (BörsG);32017R1129;DEU,ENG;xhtml,fmx4,pdfa2a
Datenschutz-Grundverordnung (DSGVO);Verordnung (VO);VO (EU) 2016/679;Bundesdatenschutzgesetz (BDSG);32016R0679;DEU,ENG;xhtml,fmx4,pdfa2a
Markets in Financial Instruments Directive II (MiFID II);Richtlinie (RL);RL 2014/65/EU;Wertpapierhandelsgesetz (WpHG), Börsengesetz (BörsG);32014L0065;DEU,ENG;xhtml,fmx4,pdfa2a
Markets in Financial Instruments Regulation (MiFIR);Verordnung (VO);VO (EU) Nr. 600/2014;Wertpapierhandelsgesetz (WpHG), Börsengesetz (BörsG);32014R0600;DEU,ENG;xhtml,fmx4,pdfa2a
Marktmissbrauchsverordnung (MAR);Verordnung (VO);VO (EU) Nr. 596/2014;Wertpapierhandelsgesetz (WpHG), Börsengesetz (BörsG);32014R0596;DEU,ENG;xhtml,fmx4,pdfa2a
Alternative Investment Fund Managers Directive II (AIFMD II);Richtlinie (RL);RL (EU) 2024/927;Kapitalanlagegesetzbuch (KAGB);32024L0927;DEU,ENG;xhtml,fmx4,pdfa2a
Organismen für gemeinsame Anlagen in Wertpapieren (OGAW / UCITS);Richtlinie (RL);RL 2009/65/EG;Kapitalanlagegesetzbuch (KAGB);32009L0065;DEU,ENG;xhtml,fmx4,pdfa2a
European Long-Term Investment Funds Regulation (ELTIF-VO);Verordnung (VO);VO (EU) 2023/606;Kapitalanlagegesetzbuch (KAGB);32023R0606;DEU,ENG;xhtml,fmx4,pdfa2a
Solvency II;Richtlinie (RL);RL 2009/138/EG;Versicherungsaufsichtsgesetz (VAG);32009L0138;DEU,ENG;xhtml,fmx4,pdfa2a
